canonical_skill,category,pattern
Python,language,"\bpython\b"
SQL,language,"\bsql\b"
R,language,"\br programming\b|\bprogramming in r\b|\br language\b|\brstudio\b"
Scala,language,"\bscala\b"
Java,language,"\bjava\b"
Julia,language,"\bjulia\b"
C++,language,"c\+\+"
Go,language,"\bgolang\b"
JavaScript,language,"\bjavascript\b|\btypescript\b"
MATLAB,language,"\bmatlab\b"
SAS,language,"\bsas\b"
Shell,language,"\bbash\b|\bshell scripting\b"
scikit-learn,ml_framework,"scikit[ -]?learn|\bsklearn\b"
TensorFlow,ml_framework,"\btensorflow\b|\btensor flow\b"
PyTorch,ml_framework,"\bpytorch\b|\btorch\b"
Keras,ml_framework,"\bkeras\b"
XGBoost,ml_framework,"\bxgboost\b|\bxg boost\b"
LightGBM,ml_framework,"\blightgbm\b|\blight gbm\b"
CatBoost,ml_framework,"\bcatboost\b"
JAX,ml_framework,"\bjax\b"
Hugging Face,ml_framework,"hugging ?face"
spaCy,ml_framework,"\bspacy\b"
NLTK,ml_framework,"\bnltk\b"
OpenCV,ml_framework,"\bopencv\b|\bopen cv\b"
ONNX,ml_framework,"\bonnx\b"
LangChain,ml_framework,"\blangchain\b|\bllama ?index\b"
NumPy,library,"\bnumpy\b"
pandas,library,"\bpandas\b"
SciPy,library,"\bscipy\b"
statsmodels,library,"\bstatsmodels\b"
Apache Spark,data_engineering,"\bspark\b|\bpyspark\b"
Hadoop,data_engineering,"\bhadoop\b|\bmapreduce\b"
Kafka,data_engineering,"\bkafka\b"
Airflow,data_engineering,"\bairflow\b"
dbt,data_engineering,"\bdbt\b"
Flink,data_engineering,"\bflink\b"
Databricks,data_engineering,"\bdatabricks\b"
Snowflake,data_engineering,"\bsnowflake\b"
Hive,data_engineering,"\bhive\b"
Trino,data_engineering,"\btrino\b|\bpresto\b"
Dagster,data_engineering,"\bdagster\b"
Prefect,data_engineering,"\bprefect\b"
ETL,data_engineering,"\betl\b|\belt\b|data pipelines?\b"
Data Modeling,data_engineering,"data modell?ing|dimensional model|star schema"
Data Quality,data_engineering,"data quality|great expectations|data observability"
AWS,cloud,"\baws\b|amazon web services"
Azure,cloud,"\bazure\b"
GCP,cloud,"\bgcp\b|google cloud"
SageMaker,cloud,"\bsagemaker\b|\bsage maker\b"
BigQuery,cloud,"\bbigquery\b|\bbig query\b"
Redshift,cloud,"\bredshift\b"
Vertex AI,cloud,"\bvertex ai\b"
Athena,cloud,"\bathena\b"
Kubernetes,mlops,"\bkubernetes\b|\bk8s\b"
Docker,mlops,"\bdocker\b|containeri[sz]"
MLflow,mlops,"\bmlflow\b|\bml flow\b"
Kubeflow,mlops,"\bkubeflow\b"
Weights & Biases,mlops,"weights ?& ?biases|\bwandb\b"
Terraform,mlops,"\bterraform\b"
Git,mlops,"\bgit\b|\bgithub\b|\bgitlab\b|version control"
CI/CD,mlops,"ci/cd|continuous integration|continuous deployment"
FastAPI,mlops,"\bfastapi\b|\bfast api\b"
Flask,mlops,"\bflask\b"
Django,mlops,"\bdjango\b"
PostgreSQL,database,"\bpostgres\b|\bpostgresql\b"
MySQL,database,"\bmysql\b"
MongoDB,database,"\bmongodb\b|\bmongo db\b"
Redis,database,"\bredis\b"
Cassandra,database,"\bcassandra\b"
Elasticsearch,database,"\belasticsearch\b|\belastic search\b"
DynamoDB,database,"\bdynamodb\b"
Neo4j,database,"\bneo4j\b|graph database"
ClickHouse,database,"\bclickhouse\b"
DuckDB,database,"\bduckdb\b"
Vector Databases,database,"\bpinecone\b|\bweaviate\b|\bfaiss\b|vector database|\bqdrant\b|\bchroma\b"
Tableau,bi_viz,"\btableau\b"
Power BI,bi_viz,"power ?bi\b"
Looker,bi_viz,"\blooker\b"
Metabase,bi_viz,"\bmetabase\b"
Superset,bi_viz,"\bsuperset\b"
Excel,bi_viz,"\bexcel\b|\bspreadsheet"
Matplotlib,bi_viz,"\bmatplotlib\b"
Seaborn,bi_viz,"\bseaborn\b"
Plotly,bi_viz,"\bplotly\b"
D3.js,bi_viz,"\bd3\.js\b|\bd3\b"
Streamlit,bi_viz,"\bstreamlit\b"
Grafana,bi_viz,"\bgrafana\b"
Qlik,bi_viz,"\bqlik"
Machine Learning,technique,"machine learning|\bml\b"
Deep Learning,technique,"deep learning|neural network"
NLP,technique,"\bnlp\b|natural language processing"
Computer Vision,technique,"computer vision|image (recognition|processing|classification)"
Time Series,technique,"time[ -]series|\bforecasting\b"
A/B Testing,technique,"a/b test|\bab testing\b|experimentation|hypothesis test"
Statistics,technique,"\bstatistic|statistical (analysis|model)"
Regression,technique,"\bregression\b"
Clustering,technique,"\bclustering\b|\bsegmentation\b"
Recommender Systems,technique,"recommend(er|ation) system|personali[sz]"
Reinforcement Learning,technique,"reinforcement learning|\brlhf\b"
LLM,technique,"\bllm\b|large language model|\bgpt\b|generative ai|\bgen ?ai\b"
RAG,technique,"\brag\b|retrieval[ -]augmented"
Transformers,technique,"transformer (model|architecture)|\bbert\b|attention mechanism"
Feature Engineering,technique,"feature engineering|feature selection"
Causal Inference,technique,"causal inference|causal analysis"
Bayesian,technique,"\bbayesian\b"
Anomaly Detection,technique,"anomaly detection|fraud detection|outlier detection"
MLOps,technique,"\bmlops\b|\bml ops\b|model (deployment|serving|monitoring)"
Data Visualization,technique,"data visuali[sz]ation|\bdashboard"
Big Data,technique,"big data|distributed (computing|systems)"
